Question,Answer,Link
How effective is the ella morning-after pill?,"ella lowers your chances of getting pregnant by 85% if you take it within 5 days after unprotected sex — but the sooner you take it, the better. ella is the most effective type of morning-after pill you can get.

ella works better than other morning-after pills for people who weigh more than 165 pounds. But if you weigh 195 pounds or more, ella won't work as well for you. ",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-ella-morning-after-pill
How do I take the ella morning-after pill?,"Take ella as soon as you can within 5 days (120 hours) after you have unprotected sex. Simply swallow the tablet the way you would any other pill. Read the instructions that come in the package for more information.

Don't take more than 1 dose of ella at a time — it won't give you extra protection from pregnancy, but it can make you feel nauseated.",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-ella-morning-after-pill
"When do I take ella?
","You can take ella up to 5 days after unprotected sex.  But if you need emergency contraception, try to get ella as quickly as you can — the sooner you act, the better.

Why take ella ASAP? Because ella works by delaying ovulation until the sperm die out (they can live in your body waiting for an egg for several days). If you take ella after you've already ovulated, it's too late and ella won't work. It's really hard to know when you ovulate, so the sooner you take ella the more likely it is to beat ovulation.",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-ella-morning-after-pill
What should I do after taking ella?,"Take a pregnancy test if you don’t get your period within 3 weeks after taking ella.

If you take ella and you end up needing emergency contraception again within 5 days:

Make sure you use ella again, and not Plan B or other levonorgestrel morning-after pills.
If you took ella and want to start using a new hormonal birth control method afterward:

Wait 6 days after you had unprotected sex before you start using your new method.
For the days that you don't have hormonal birth control, use another method of birth control, like condoms.
Continue using that backup method of birth control however long it takes for your new hormonal birth control method to start working.
If you’re breastfeeding:

Pump and throw away your milk for 24 hours after you take ella.
So, only use ella if you’re OK with pumping and throwing away your milk for the next 24 hours. (You don’t have to pump and throw away your milk if you use other kinds of emergency contraception.)",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-ella-morning-after-pill
How do I take ella if I’m using another method of birth control?,"If you need ella because there was a slip up with your birth control pill, ring, or patch, you can start using your regular method again right after you take ella.

If you were taking hormonal birth control and you were more than 7 days late on your pill/ring/patch when you took ella, wait 6 days after unprotected sex before you re-start your pill/ring/patch. Use a backup method (like condoms) during those 6 days, plus however long it takes for your regular birth control method to start working again. 

If you recently started taking the pill/ring/patch and were using it for less than a week when you made a mistake, wait 6 days after unprotected sex before you restart your pill/ring/patch — and use a backup method (like condoms) during those 6 days, plus however long it takes for your regular birth control method to start working again. 

If you have questions about restarting your regular birth control method, you can use our Missed Pill/Patch/Ring tool or call your nurse or doctor.

If you take ella because it’s been more than 15 weeks since your last birth control shot, wait 6 days after unprotected sex before you get your next shot — use a backup method (like condoms) during those 6 days, and the first week after getting your shot.",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-ella-morning-after-pill
Does ella have side effects?,"ella is super safe, and side effects aren’t common. There have been no reports of any serious complications from taking ella.

After you take ella, it's totally normal for your next period to be different from what you’re used to. It may come earlier or later, and be heavier, lighter, or more spotty. Or, it may be the same as it normally is.

This isn’t common, but you may get a headache or an upset stomach when you take the morning-after pill. If you throw up within 3 hours of taking ella, it won’t work and you’ll need to take it again. ",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-ella-morning-after-pill
Where can I get ella?,"You need a prescription to get ella. There are a few different ways you can get a prescription and get ella quickly.

In most states, you can get EC from the Planned Parenthood Direct app. If you can’t use the Planned Parenthood Direct app in your state, you can order it online from Nurx or PRJKT RUBY.

You may be able to get a prescription for ella by calling your nurse or doctor, like your gynecologist. You can ask if they’ll send the prescription straight to your local pharmacy without needing you to come in for an appointment. 

You can get ella, or a prescription for ella, from your local Planned Parenthood health center. You may also be able to get it from another family planning or health clinic.

Depending on the state you live in, you may be able to get a prescription directly from your pharmacist, without seeing a doctor or visiting a health center. Call the drugstore or pharmacy first, to make sure they can write you a prescription and that they have ella in stock.
",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-ella-morning-after-pill
How much does the ella morning-after pill cost?,"ella usually costs about $50 or more at the pharmacy or drugstore, but it might be totally free if you have health insurance or Medicaid. Under the Affordable Care Act (aka Obamacare), most insurance plans must cover prescription birth control and doctor’s visits that are related to birth control. Talk to your doctor, pharmacist, or health insurance provider for more information about using insurance to pay for ella.

You may be able to get ella for free or low cost from a Planned Parenthood health center, your local health department, or another family planning clinic. Call your nearest health center to find out if they can help you get emergency contraception that fits your budget. The staff at your local Planned Parenthood health center can also help you figure out if your insurance will pay for your morning-after pill.

Because timing is super important when it comes to the morning-after pill and it may take a while to get a prescription, call your doctor or your local Planned Parenthood health center as soon as you can. 

If you want to plan ahead and get ella before you need it, you can also ask your nurse or doctor for a prescription for ella the next time you have an appointment. You can keep it in your medicine cabinet and it will be there for you, just in case. That way you can take it as soon as possible if an accident happens, and you won’t have to worry about getting a prescription when you’re stressed out.",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-ella-morning-after-pill
What medicines affect how well ella works?,"These medicines or supplements can make ella not work as well:

•  The antibiotic Rifampin (other antibiotics don’t make ella less effective)

•  The antifungal Griseofulvin (other antifungals don’t make ella less effective)

•  Certain HIV medicines

•  Certain anti-seizure medicines (these are sometimes also used to treat psychiatric disorders like bipolar disorder)

•  The herb St. John’s Wort

Tell your nurse or doctor about any medications you’re taking when you get your prescription for ella — they can help you figure out if ella is a good option for you.",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-ella-morning-after-pill
What’s the Plan B morning-after pill?,"The Plan B pill works best when you take it within 3 days after unprotected sex. Like all morning-after pills, take Plan B ASAP after unprotected sex. You can get Plan B at your local drugstore or pharmacy.
",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-plan-b-morning-after-pill
How effective is Plan B One-Step and other levonorgestrel morning-after pills?,"A levonorgestrel morning-after pill — like Plan B One Step, Take Action, My Way, Option 2, Preventeza, AfterPill, My Choice, Aftera, and EContra — can lower your chance of getting pregnant by 75–89% if you take it within 3 days after unprotected sex.

You can take Plan B and other levonorgestrel morning-after pills up to 5 days after unprotected sex. But sooner is better — the longer you wait to take it, the less effective it is.

Levonorgestrel morning-after pills may not work if you weigh more than 165 pounds. If that’s the case, IUDs or ella are better options for you. Our handy quiz can help you figure out which EC is best for you.

Though there are many different brands of levonorgestrel morning-after pills, they all work the same way. All brands have the same amount of medicine and the same effectiveness, no matter how much they cost. They prevent pregnancy by delaying ovulation. Taking them ASAP gives you a greater chance of preventing pregnancy.
",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-plan-b-morning-after-pill
How do I use Plan B and other levonorgestrel morning-after pills?,"Take levonorgestrel morning-after pills (like Plan B One-Step, Take Action, My Way, AfterPill, Aftera, and EContra) as soon as you can after unprotected sex. Simply swallow the tablet the way you would any other pill. It’s typically one dose usually packaged as one pill. If you get two pills, take both as directed. Read the instructions that come in the package for more information.

You can take these morning-after pills up to 5 days after unprotected sex, but they work much better if you take them during the first 3 days.

Take a pregnancy test if you haven’t gotten your period within 3 weeks after taking the morning-after pill.

Don’t take Plan B One-Step or other levonorgestrel morning-after pills if you’ve taken ella in the last 5 days.",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-plan-b-morning-after-pill
Does the Plan B morning-after pill have side effects?,"The morning-after pill is super safe, and Plan B side effects aren’t super common. There have been no reports of serious problems out of the millions of people who’ve taken it.

After you take the morning-after pill, it's totally normal for your next period to be different from what you’re used to. It may come earlier or later, and be heavier, lighter, or more spotty. Or it may be the same as it normally is.

You may get a headache, upset stomach, feel lightheaded or dizzy, or have tender breasts for a short while when you take the morning-after pill. If you throw up within 2 hours of taking the pill, it won't work and you’ll need to take it again.",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-plan-b-morning-after-pill
Where can I get the Plan B morning-after pill?,"You can buy levonorgestrel morning-after pills (like Plan B One-Step, Take Action, My Way, Option 2, Preventeza, AfterPill, My Choice, Aftera, and EContra) over the counter without a prescription at drugstores and pharmacies. It doesn’t matter how old you are and it doesn’t matter what your gender is.  Sometimes the morning-after pill is locked up or kept behind the counter, so you may have to ask the pharmacist or store clerk for help getting it — but you don’t have to have a prescription or show your ID.

You can also get the morning-after pill at many family planning or health department clinics, and Planned Parenthood health centers.",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-plan-b-morning-after-pill
How Much Does Plan B Cost?,"Plan B One-Step usually costs about $40–$50. Generics like Take Action, My Way, Option 2, Preventeza, My Choice, Aftera, and EContra generally cost less — about $11–$45. You can also order a generic brand called AfterPill online for $20 + $5 shipping. (AfterPill can’t be shipped quick enough to use if you need a morning-after pill right now, but you can buy it and put it in your medicine cabinet in case you need it in the future.)

The brand of EC you buy or how much you pay for it doesn’t matter — all brand-name and generic levonorgestrel morning-after pills work just as well.

You may be able to get the morning-after pill for free or low cost from a Planned Parenthood health center, your local health department, or another family planning clinic. Call your nearest Planned Parenthood to see if they can help you get emergency contraception that fits your budget.

If you have health insurance or Medicaid, there’s a good chance you can get Plan B for free — you just have to ask your nurse or doctor for a prescription so your health insurance will cover them (even though you don’t need a prescription to buy these types of morning-after pills over-the-counter). The staff at your local Planned Parenthood health center can also help you figure out if your health insurance will pay for your morning-after pill. Read more about using health insurance to pay for emergency contraception. 

Since the morning-after pill works better the sooner you take it, it’s a good idea to get it BEFORE you need it.  You can keep it in your medicine cabinet and it will be there for you, just in case. That way you can take it as soon as possible if an accident happens, and you won’t have to worry about finding it at the store when you’re stressed out.",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-plan-b-morning-after-pill
What medicines affect how well Plan B works?,"These medicines or supplements can make Plan B and other levonorgestrel morning-after pills not work as well:

• The antibiotic Rifampin (other antibiotics don’t make Plan B less effective)

• The antifungal Griseofulvin (other antifungals don’t make Plan B less effective)

• Certain HIV medicines

• Certain anti-seizure medicines (these are sometimes also used to treat psychiatric disorders like bipolar disorder)

• The herb St. John’s Wort

You can ask a nurse, doctor, or pharmacist about any medications you’re taking, and they can help you figure out if Plan B is a good option for you.",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-plan-b-morning-after-pill
"Can emergency contraception delay period?
","Emergency contraception can delay your period. In fact, getting your period later or earlier than usual is one of the most common side effects of emergency contraception pills like Plan B and ella.

It’s also pretty common to have some spotting in between taking emergency contraception and getting your period, or for your period to be lighter, heavier, or a little different than usual when you do get it.

However, if you don’t get your period within 3 weeks of taking emergency contraception, take a pregnancy test.

If you aren’t pregnant, your menstrual cycle should return to normal the next month. But using emergency contraception often can cause your periods to become irregular or unpredictable. That’s 1 reason why it’s better to use a regular birth control method instead of relying on emergency contraception. Plus, birth control methods like the IUD, implant, or pill (to name a few) are way better at preventing pregnancy.",https://www.plannedparenthood.org/learn/morning-after-pill-emergency-contraception/whats-plan-b-morning-after-pill
How Pregnancy Happens,"In order for pregnancy to happen, sperm needs to meet up with an egg. Pregnancy officially starts when a fertilized egg implants in the lining of the uterus. It takes up to 2-3 weeks after sex for pregnancy to happen.
",https://www.plannedparenthood.org/learn/pregnancy/how-pregnancy-happens
How do people get pregnant?,"Pregnancy is actually a pretty complicated process that has several steps. It all starts with sperm cells and an egg.

Sperm are microscopic cells that are made in testicles. Sperm mixes with other fluids to make semen (cum), which comes out of the penis during ejaculation. Millions and millions of sperm come out every time you ejaculate — but it only takes 1 sperm cell to meet with an egg for pregnancy to happen.

Eggs live in ovaries, and the hormones that control your menstrual cycle cause a few eggs to mature every month. When your egg is mature, it means it’s ready to be fertilized by a sperm cell. These hormones also make the lining of your uterus thick and spongy, which gets your body ready for pregnancy.


About halfway through your menstrual cycle, one mature egg leaves the ovary — called ovulation — and travels through the fallopian tube towards your uterus.

The egg hangs out for about 12-24 hours, slowly moving through the fallopian tube, to see if any sperm are around.


If semen gets in your vagina, sperm cells can swim up through the cervix. The sperm and uterus work together to move the sperm towards the fallopian tubes. If an egg is moving through your fallopian tubes at the same time, the sperm and egg can join together. The sperm has up to six days to join with an egg before it dies.

When a sperm cell joins with an egg, it’s called fertilization. Fertilization doesn’t happen right away. Since sperm can hang out in your uterus and fallopian tube for up to 6 days after sex, there’s up to 6 days between sex and fertilization.

If a sperm cell does join up with your egg, the fertilized egg moves down the fallopian tube toward the uterus. It begins to divide into more and more cells, forming a ball as it grows. The ball of cells (called a blastocyst) gets to the uterus about 3–4 days after fertilization.


The ball of cells floats in the uterus for another 2–3 days. If the ball of cells attaches to the lining of your uterus, it’s called implantation — when pregnancy officially begins. 

Implantation usually starts about 6 days after fertilization, and takes about 3-4 days to complete. The embryo develops from cells on the inside of the ball. The placenta develops from the cells on the outside of the ball.

When a fertilized egg implants in the uterus, it releases pregnancy hormones that prevent the lining of your uterus from shedding — that’s why people don’t get periods when they’re pregnant. If your egg doesn’t meet up with sperm, or a fertilized egg doesn’t implant in your uterus, the thick lining of your uterus isn’t needed and it leaves your body during your period. Up to half of all fertilized eggs naturally don’t implant in the uterus — they pass out of your body during your period.
",https://www.plannedparenthood.org/learn/pregnancy/how-pregnancy-happens
What are early pregnancy symptoms?,"Many people notice symptoms early in their pregnancy, but others may not have any symptoms at all.

Common signs and symptoms of pregnancy can include:

Missed period

Swollen or tender breasts

Nausea and/or vomiting

Feeling tired

Bloating

Constipation

Peeing more often than usual

Some early pregnancy symptoms can sometimes feel like other common conditions (like PMS). So the only way to know for sure if you’re pregnant is to take a pregnancy test. You can either take a home pregnancy test (the kind you buy at the drug or grocery store), or get a pregnancy test at your doctor’s office or local Planned Parenthood Health Center.",https://www.plannedparenthood.org/learn/pregnancy/how-pregnancy-happens
How do people get pregnant with twins?,"There are 2 ways that twins can happen. Identical twins are made when 1 already-fertilized egg splits into 2 separate embryos. Because identical twins come from the same sperm and egg, they have the same genetic material (DNA) and look exactly alike.

Non-identical twins (also called “fraternal” twins), are made when two separate eggs are fertilized by two separate sperm, and both fertilized eggs implant in the uterus. This can happen if your ovaries release more than one egg, or during certain kinds of fertility treatments. Non-identical twins have completely different genetic material (DNA), and usually don’t look alike. They’re the most common type of twin.",https://www.plannedparenthood.org/learn/pregnancy/how-pregnancy-happens
What is gestational duration (AKA gestational age)?,"The term “gestational duration” (also called ""gestational age"") basically means how far along into a pregnancy you are. Gestational duration is counted from the first day of your last menstrual period (called LMP).

Gestational age can be kind of confusing, since it measures pregnancy from your last period — about 3-4 weeks BEFORE you’re actually pregnant. Common knowledge about pregnancy says it lasts 9 months, and it’s true that you’re usually pregnant for about 9 months. But the way pregnancy is measured makes it a little longer. A typical full-term pregnancy ranges from 38-42 weeks LMP — around 10 months.

Many people can’t remember the exact date of their last menstrual period — that’s totally okay. Your nurse or doctor can find out the gestational duration using an ultrasound.
",https://www.plannedparenthood.org/learn/pregnancy/how-pregnancy-happens
Can you get pregnant from precum?,"Your chances of getting pregnant from precum are pretty low. But it is possible.

Precum (also known as pre-ejaculate) is a small amount of fluid that comes out of the penis when you’re aroused, but before ejaculation happens. It doesn’t usually have any sperm in it. But some people’s precum does have a small amount of sperm in it sometimes. This means sperm can get into the vagina and possibly fertilize an egg.

There’s no way to know who has sperm in their precum and who doesn’t, so that’s one reason why the withdrawal method (pulling out) isn’t the best at preventing pregnancy.

If you don’t want to get pregnant, put on a condom before your genitals touch your partner’s. Even better, use both condoms and another kind of birth control together.",https://www.plannedparenthood.org/learn/pregnancy/how-pregnancy-happens
What are the stages of pregnancy?,"Pregnancy lasts about 40 weeks. The stages of pregnancy are divided into 3 trimesters. Each trimester is a little longer than 13 weeks.

You’ll go through many changes during each trimester. Some people feel lots of discomfort. Others don’t feel much at all.

During the first trimester, you’ll probably have lots of body changes, including:

Tiredness

Tender, swollen breasts

Morning sickness

Cravings or distaste for certain foods

Mood swings

Constipation

Needing to pee more often

Headache

Heartburn

Weight gain or loss

Most of these symptoms go away when you get to the second trimester. This is when your belly gets bigger and you’ll feel the fetus move. You may also notice:

Body aches

Stretch marks

Darkening of your areolas

A line on your skin running from your belly button to pubic bone

Patches of darker skin

Numb or tingling hands

Itching on your abdomen, palms, and feet

Swelling of your ankles, fingers, or face

In the third trimester, some of the same symptoms may continue. You may also experience:

Shortness of breath

Needing to pee even more often

Hemorrhoids

Your breasts leaking a watery pre-milk called colostrum

Your belly button sticking out

Trouble sleeping

The baby ""dropping"" or moving lower in your abdomen

Contractions

If you aren’t sure if your symptoms are normal, call your doctor or midwife ",https://www.plannedparenthood.org/learn/pregnancy/how-pregnancy-happens
What are the different ways I can get pregnant?,"In order to get pregnant, sperm needs to fertilize an egg. Pregnancy officially starts when a fertilized egg (embryo) attaches to the wall of your uterus, where it grows into a baby over 9 months. There are a few different ways this can happen.

The most common way people get pregnant is from vaginal sex — when a person who has a penis ejaculates inside the other person’s vagina. Sperm cells in semen (cum) swim up the vagina, through the cervix and uterus, and into the fallopian tubes. If there’s an egg in the fallopian tube and it meets up with sperm, the fertilized egg moves down into the uterus. If the fertilized egg attaches to the wall of the uterus, pregnancy begins.

It’s also possible to get pregnant from other kinds of sexual activity — even if the penis doesn’t ejaculate inside the vagina — but this is way less common. If semen (cum) gets ON the vulva or near the vaginal opening, sperm cells can swim into the vagina and cause pregnancy. This can happen if semen drips or is wiped onto the vulva, or if someone touches your vulva or vagina with fingers or sex toys that have wet semen on them. Pre-ejaculate (pre-cum) can also have a tiny bit of sperm in it, so pre-cum may cause pregnancy if it gets into the vagina.

You can also get pregnant using different kinds of alternative insemination or in-vitro fertilization. During alternative insemination, semen is inserted into your vagina or uterus using a syringe or other device. You either put the semen in at home by yourself or with a partner, or with the help of a doctor. People can use frozen sperm from a sperm bank, or fresh sperm from a known donor (like a partner or family friend). Alternative insemination is an option for single people, couples who don’t make sperm, or couples dealing with infertility.

In-vitro fertilization is when a doctor takes eggs out of your or someone else’s body and mixes them with sperm in a lab to fertilize the eggs. Then the doctor puts the fertilized eggs (embryos) into your uterus. If one or more of the embryos attaches to your uterine lining, pregnancy begins. In-vitro fertilization helps people struggling with infertility get pregnant.
",https://www.plannedparenthood.org/learn/pregnancy/how-pregnancy-happens/what-are-some-tips-getting-pregnant
How long does it take to get pregnant?,"The amount of time it takes to get pregnant is different for each person, and can depend on a lot of things (like your age, genetics, and overall health).

If you’re fertile and having unprotected vaginal sex, there’s a very good chance you’ll get pregnant within 1 year. About 85 out of 100 people who try to get pregnant succeed within 1 year. But everyone’s different — for some people it’s much faster, while it may take longer for others.
",https://www.plannedparenthood.org/learn/pregnancy/how-pregnancy-happens/what-are-some-tips-getting-pregnant
