AbortionPPDFAQ
question,answer,Link
How can I mark the end of the pregnancy?,"It can help to acknowledge that there was 'something there'. However early the pregnancy was, it was still there, may have meant something to you and now it has gone. Some women keep the scan picture to mark that something existed. They may not look at it but having it can be comforting. Other markers have been tiny teddies, plants, a tattoo or it can be anything that is personally meaningful for you. Pregnancy tissue is sensitively cremated at a local crematorium and scattered there. It can be a comfort to know that the tissue has been carefully looked after and has a final resting place.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
How can I deal with doubts about my decision to have an abortion?,"It can be helpful to write down all your reasons for the abortion, so you can remind yourself of them if you have doubts later and start questioning yourself. Hindsight gives a different perspective and emotions, but if you find you are dwelling on 'what if', try to take yourself back to the time you made the decision. Really try to bring it to mind and know that at that point you made the best decision you could. It can be hard, but you need to let go of 'what if' and invest your energy on what you have, and pursue what is most important to you in your life at this time.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
What self-care practices are recommended after an abortion?,"It is important to take good care of yourself after an abortion. This involves trying to keep to regular routines including sleeping, eating, keeping up with physical activities you can do and spending time with supportive, caring people, not hiding away inside at home.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
Can you suggest a relaxation exercise?,"Give yourself 5 minutes during your day and find somewhere comfortable, warm and quiet to sit or lie down. Close your eyes if you wish and begin by taking some slow deep breaths, and notice the breath passing through your nose. Now allow the chair or bed to take the weight of your body. Feel how each part of your body is weighing down on the chair or bed, and your feet on the floor. Notice the sound of your breathing, and see if you can stay focused on this for now. If you find your mind wandering, gently bring it back. After a little while doing this, open your eyes and sit for a moment before continuing with your day.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
How can I be more compassionate towards myself after an abortion?,"We often find it easier to be kind, fair and compassionate towards other people than to ourselves. Therefore, it can be helpful to consider what you'd say to someone else in a similar situation. Maybe imagine you are talking to somebody else who is saying how they are thinking and feeling after an abortion. What might you say to them? How would you talk to them (e.g. would you shout at them or would you use a more caring, supportive voice)? What do you think they would need to help them cope at that point in time?",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
What is the 'Wise Other' technique?,"It can also be helpful to think about the wisest person you know - someone who understands that this can be a difficult time and who wants the best for you, both now and in the future. This wise person could be someone you know in real life, or perhaps someone from TV, films or books. It could even an animal or object that you see as being very wise (an example of this might be a wise owl or an old tree). Pick someone or something that you see as compassionate (which includes having wisdom, strength and warmth, and being non-judgemental). What would this wise other say to you right now? What would they want for you? How does this make you think and feel about your decision?",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
How long will it take to feel better after an abortion?,"As the weeks pass and your body returns to its non-pregnant state you should start to feel better. You will get back to normal life and may continue or start something that was one of the reasons for having the abortion, such as studying. Adjusting to what has happened cannot be rushed. What we hope is that in the future you will look back on this time and say 'that was difficult but it was the best decision I could make at that time'.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
What are the baby blues?,"About 2–3 days after childbirth, some people begin to feel depressed, anxious, and upset. They may feel angry with the new baby, their partners, or their other children. They may also cry for no clear reason, have trouble sleeping, eating, and making choices, and question whether they can handle caring for a baby. These feelings, often called the baby blues, may come and go in the first few days after childbirth.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
How long do the baby blues usually last?,The baby blues usually get better within a few days or 1–2 weeks without any treatment.,https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
What is postpartum depression?,"Postpartum depression is a type of depression that causes intense feelings of sadness, anxiety, or despair that keep people from being able to do their daily tasks.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
When does postpartum depression occur?,"Postpartum depression can occur up to 1 year after having a baby, but it most commonly starts about 1–3 weeks after childbirth.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
What causes postpartum depression?,"Postpartum depression probably is caused by a combination of factors, including changes in hormone levels, history of depression, emotional factors, fatigue, and lifestyle factors.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
I think I have postpartum depression. What should I do?,"Call your obstetrician–gynecologist (ob-gyn) or another health care professional right away if you think you may have postpartum depression, or if your partner or family members are concerned that you do. Do not wait until your postpartum checkup to talk with your ob-gyn.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
How is postpartum depression treated?,"Postpartum depression can be treated with medications, including zuranolone and antidepressants. Talk therapy also is used to treat depression, sometimes with medications.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
What is zuranolone?,Zuranolone is the first medication approved by the U.S. Food and Drug Administration for treating postpartum depression in adults. It is taken by mouth for 14 days.,https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
Can zuranolone cause side effects?,"Yes. Common side effects include dizziness, fatigue, drowsiness, diarrhea, cold-like symptoms, and urinary tract infections (UTIs). You should also avoid certain tasks and medications during treatment.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
Can zuranolone pass to a baby through breast milk?,Zuranolone passes into breast milk. It’s not clear how the medication affects milk production or breastfed babies. Talk with your ob-gyn about your options regarding breastfeeding during treatment.,https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
What are antidepressants?,"Antidepressants are medications that work to balance the chemicals in the brain that control moods. There are many types of antidepressants, and they may take 3–4 weeks before you start to feel better.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
Can antidepressants cause side effects?,"Antidepressants can cause side effects, but most are temporary. If you experience severe or unusual side effects, contact your ob-gyn or health care professional immediately.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
Can antidepressants pass to a baby through breast milk?,Antidepressants pass into breast milk. The levels found in milk are generally very low. Talk with your ob-gyn about the benefits and risks of taking antidepressants while breastfeeding.,https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
What happens in talk therapy?,"In talk therapy, you and a mental health professional talk about your feelings and discuss how to manage them. Therapy may be needed for a few weeks, months, or longer.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
What are the types of talk therapy?,"You may have one-on-one therapy, group therapy, or family/couples therapy.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
What can be done to help prevent postpartum depression in women with a history of depression?,"Inform your ob-gyn early in prenatal care if you have a history of depression. They may suggest treatment options, including starting treatment right after birth or continuing antidepressants during pregnancy.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
What support is available to help me cope with postpartum depression?,"Support groups can be found at hospitals, clinics, or community centers. Useful information is also available on websites like the National Women’s Health Information Center and MedlinePlus.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
